Sun,1.9885E30,696E6,0:0:0,0:0:0,255:255:0
Mercury,3.3011E23,2439E3,57.9E9:0:0,0:47.39E3:0,186:169:145
Venus,4.8675E24,6052E3,108.2E9:0:0,0:35.02E3:0,244:188:66
Earth,5.9722E24,637E4,150E9:0:0,0:29.73E3:0,0:255:0
Mars,6.4171E23,3390E3,227.9E9:0:0,0:24E3:0,255:0:0
Jupiter,1.8982E27,7.15E7,779E9:0:0,0:13.07E3:0,253:106:2
Saturn,5.6834E26,58.2E6,1434E9:0:0,0:9.68E3:0
Uranus,8.681E25,25.4E6,2871E9:0:0,0:6.8E3:0,0:0:122
Neptune,1.02413E26,24.6E6,4495E9:0:0,0:5.43E3:0,0:0:255
